Name,Internship,Term,Course_Name,Course_Code,Section_Code,Placement_Status,Site,SiteCategory,SUBJECT,Student_Name,StudentID,Assessment_Document_Title,Rubric_Title,Assessment_Status,AssessorUID,Assessor_Role,Assessment_Completion_Date,Score,Points_Possible,Percentage,Performance_Levels
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Third Teaching Assessment (Spring 2016),Relationships,Completed,31,supervisor,4/5/16 4:33,12,0,0,4.000-Exemplary|4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Fourth Teaching Assessment (Spring 2016),Implementing,Completed,31,supervisor,4/7/16 5:39,31,0,0,4.000-Exemplary |4.000-Exemplary |4.000-Exemplary |4.000-Exemplary |4.000-Exemplary |3.000-Proficient|4.000-Exemplary |4.000-Exemplary 
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Fourth Teaching Assessment (Spring 2016),Managing ,Completed,31,supervisor,4/7/16 5:39,16,0,0,4.000-Exemplary |4.000-Exemplary |4.000-Exemplary |4.000-Exemplary 
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Fourth Teaching Assessment (Spring 2016),Assessing,Completed,31,supervisor,4/7/16 5:39,8,0,0,4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Fourth Teaching Assessment (Spring 2016),Confident and Passionate,Completed,31,supervisor,4/7/16 5:39,12,0,0,4.000-Exemplary|4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Fourth Teaching Assessment (Spring 2016),Relationships,Completed,31,supervisor,4/7/16 5:39,12,0,0,4.000-Exemplary|4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Fifth Teaching Assessment (Spring 2016),Implementing,Completed,31,supervisor,4/13/16 7:04,32,0,0,4.000-Exemplary |4.000-Exemplary |4.000-Exemplary |4.000-Exemplary |4.000-Exemplary |4.000-Exemplary |4.000-Exemplary |4.000-Exemplary 
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Fifth Teaching Assessment (Spring 2016),Managing ,Completed,31,supervisor,4/13/16 7:04,16,0,0,4.000-Exemplary |4.000-Exemplary |4.000-Exemplary |4.000-Exemplary 
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Fifth Teaching Assessment (Spring 2016),Assessing,Completed,31,supervisor,4/13/16 7:04,8,0,0,4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Fifth Teaching Assessment (Spring 2016),Confident and Passionate,Completed,31,supervisor,4/13/16 7:04,12,0,0,4.000-Exemplary|4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Fifth Teaching Assessment (Spring 2016),Relationships,Completed,31,supervisor,4/13/16 7:04,12,0,0,4.000-Exemplary|4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Candidate Disposition (Spring 2016),Professional and Committed ,Completed,222,intern,4/25/16 9:32,20,0,0,4.000-Exemplary|4.000-Exemplary|4.000-Exemplary|4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Candidate Disposition (Spring 2016),Confident,Completed,222,intern,4/25/16 9:32,12,0,0,4.000-Exemplary|4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Candidate Disposition (Spring 2016),Principled,Completed,222,intern,4/25/16 9:32,8,0,0,4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Candidate Disposition (Spring 2016),Compassionate and Respectful ,Completed,222,intern,4/25/16 9:32,8,0,0,4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Candidate Disposition (Spring 2016),Collaborative,Completed,222,intern,4/25/16 9:32,8,0,0,4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Candidate Disposition (Spring 2016),Communicative,Completed,222,intern,4/25/16 9:32,8,0,0,4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Overton High,,Biology,,L22759469,Mentor: Mid-Term Student Teaching Evaluation Rubric (Spring 2016),Craft,Completed,223,mentor,3/30/16 11:57,20,0,0,4.000-Exemplary|4.000-Exemplary|4.000-Exemplary|4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
